id,group,outcome,note,company,routed_company,routed_fy,oracle_doc,n_facts,n_chunks,seconds,expected,answer,problems
financebench_id_01091,direct,wrong,"expected [2018.0, 2019.0], said [2022.0]",Boeing,BOEING,2022,BOEING_2022_10K,4,10,16.1,Yes. Multiple lawsuits have been filed against Boeing resulting from a 2018 Lion Air crash and a 2019 Ethiopian Airlines,"Boeing's FY2022 had various legal proceedings, claims, and investigations related to products, contracts, employment, and other matters [C2533].",
financebench_id_00678,direct,refused,,Boeing,BOEING,2022,BOEING_2022_10K,10,3,14.2,"Yes. Boeing has an improving gross margin profile as of FY2022. Gross profit improved from $3,017 million in FY2021 to $","INSUFFICIENT EVIDENCE to determine if Boeing has an improving gross margin profile as of FY2022, since the provided context does not contain gross margin figures. [C2720] [C2407] [C2543]",
financebench_id_01290,direct,refused,,Boeing,BOEING,2022,BOEING_2022_10K,4,10,16.8,Boeing's primary customers as of FY2022 are a limited number of commercial airlines and the US government. The US govern,INSUFFICIENT EVIDENCE to determine the primary customers of Boeing as of FY2022. The context does not provide specific details about primary customers.,
financebench_id_00464,narrative,refused,,Boeing,BOEING,,BOEING_2022_10K,4,10,13.2,"Yes, Boeing's business is subject to cyclicality due to its exposure to the airline industry which is a cyclical industr",INSUFFICIENT EVIDENCE The context does not provide information on whether Boeing's business is subject to cyclicality.,
financebench_id_00494,direct,refused,,Boeing,BOEING,2023,BOEING_2022_10K,4,10,21.6,"Boeing forecasts an increase in the production rates for the 737, 777X and 787 aircrafts in 2023.",INSUFFICIENT EVIDENCE to determine production rate changes for FY2023. The context does not provide information about FY2023 production rates.,
financebench_id_00585,direct,ungrounded,figure 0.6 is in no supplied fact — the model computed or recalled it,Boeing,BOEING,2022,BOEING_2022_10K,4,10,24.9,"Effective tax rate in FY2022 was 0.62%, compared to  -14.76% in FY2021.","Boeing's effective tax rate in FY2022 was (0.6) %, compared to 14.8 % in FY2021 [F13155], page 24.",figure 0.6 is in no supplied fact — the model computed or recalled it
financebench_id_03473,computed,refused,,Coca-Cola,COCACOLA,2017,COCACOLA_2017_10K,10,3,17.8,0.01,"INSUFFICIENT EVIDENCE to calculate the average total assets between FY2016 and FY2017. The period for the return on assets calculation requires average total assets for the two years, but only the total assets for FY2017 are provided. [F214624]",
financebench_id_09724,computed,refused,,Coca-Cola,COCACOLA,2021,COCACOLA_2021_10K,10,3,14.1,39.7%,INSUFFICIENT EVIDENCE to calculate the COGS % margin for FY2021. The context does not provide the necessary revenue figure to calculate the margin. [C61755] [C61757],
financebench_id_06272,computed,refused,,Coca-Cola,COCACOLA,2022,COCACOLA_2022_10K,10,3,22.1,0.8,"INSUFFICIENT EVIDENCE to calculate the dividend payout ratio directly, as the net income attributable to shareholders is not provided in the cash flow statement or the income statement. [F226764] [F226765] [F226706] [F226766] [F226707] [F226824] [F226825] [F226826] [F226708] [F226696]",
financebench_id_10130,computed,refused,,Corning,CORNING,2020,CORNING_2020_10K,10,3,10.9,63.86,INSUFFICIENT EVIDENCE to calculate FY2020 days payable outstanding (DPO) as the required COGS and inventory data are not provided.,
financebench_id_02981,computed,refused,,Corning,CORNING,2019,CORNING_2021_10K,10,3,16.2,10.3%,"INSUFFICIENT EVIDENCE to calculate the 3 year average unadjusted operating income % margin for Corning, as the context does not provide the operating income values for FY2019, FY2020, and FY2021. [C64978] [C65212] [C65220]",
financebench_id_01346,direct,refused,,Corning,CORNING,2021,CORNING_2022_10K,10,3,12.1,The effective tax rate of Corning has changed from 20% in FY2021 to 23% in FY 2022.,"INSUFFICIENT EVIDENCE to determine the change in effective tax rate between FY2021 and FY2022, as only the FY2021 rate is provided in the context. [C65557]",
financebench_id_00005,direct,refused,,Corning,CORNING,2022,CORNING_2022_10K,4,10,21.5,Yes. Corning had a positive working capital amount of $831 million by FY 2022 close. This answer considers only operatin,"INSUFFICIENT EVIDENCE to determine if working capital is a useful or relevant metric for Corning; the context does not provide information on the definition or applicability of working capital for this company, only the value [F42937] CORNING_2022_10K p34 | CORNING · Working capital · December 31, ·",
financebench_id_04209,direct,correct,,Costco,COSTCO,2021,COSTCO_2021_10K,10,3,10.8,$59268.00,"3M's FY2021 total assets were $59,268 millions [F90751], page 38.",
financebench_id_05915,computed,refused,,CVS Health,CVSHEALTH,2018,CVSHEALTH_2018_10K,10,3,13.0,17.98,INSUFFICIENT EVIDENCE to calculate the fixed asset turnover ratio. The context does not provide the average property and equipment (PP&E) value for FY2017 and FY2018.,
financebench_id_00790,direct,refused,,CVS Health,CVSHEALTH,2022,CVSHEALTH_2022_10K,4,10,16.7,"Yes, CVS Health requires an extensive asset base to operate, which is evident from its ROA of only 1.82% in 2022 and 3.3","INSUFFICIENT EVIDENCE to determine if CVS Health is a capital-intensive business based on FY2022 data, as there is no information on capital expenditures or the ratio of capital expenditures to revenue.",
financebench_id_01107,direct,refused,,CVS Health,CVSHEALTH,2022,CVSHEALTH_2022_10K,4,10,21.2,"Yes, CVS Health has been involved in multiple ongoing legal battles. Some notable legal dispute areas for CVS are: (1) u","INSUFFICIENT EVIDENCE to determine if CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020, as the provided context does not contain specific information about legal battles for those years. [C6648] CVSHEALTH_2022_10K p182 mentions ongoing litigation but does n",
financebench_id_01244,direct,refused,,CVS Health,CVSHEALTH,2022,CVSHEALTH_2022_10K,4,10,19.0,"Yes, CVS paid a $ 0.55 dividend per share every quarter in FY2022",INSUFFICIENT EVIDENCE to determine if CVS Health paid dividends to common shareholders in Q2 of FY2022. The context provides information about past dividends but not specific to Q2 of FY2022. [C6465] [C6402] [C6622],
financebench_id_00839,narrative,refused,,Foot Locker,FOOTLOCKER,,FOOTLOCKER_2022_8K_dated_2022-08-19,4,10,25.7,Yes. She was previous CEO of Ulta Beauty which means she had to manage a large retail company that has brick and mortar ,INSUFFICIENT EVIDENCE to determine if Foot Locker's new CEO has previous CEO experience in a similar company. The context does not provide information about Mary N. Dillon's previous CEO experience at a similar company. [C76170] [C76173] [C75859] [C76178] [C75354] [C75713] [C76163] [C75599] [C76165],
financebench_id_00822,narrative,refused,,Foot Locker,,,FOOTLOCKER_2022_8K_dated-2022-05-20,4,10,16.6,"Yes, his name is Richard A. Johnson","INSUFFICIENT EVIDENCE to determine if any board member nominees had substantially more votes against joining than the other nominees, as the context does not provide specific vote counts for board member nominees.",
financebench_id_04103,computed,refused,,General Mills,GENERALMILLS,2019,GENERALMILLS_2019_10K,10,3,15.9,-3.7,"INSUFFICIENT EVIDENCE to calculate the FY2019 cash conversion cycle (CCC) for General Mills. Missing information includes COGS, Revenue, average inventory, average accounts receivable, and average accounts payable for FY2018 and FY2019.",
financebench_id_03471,computed,refused,,General Mills,GENERALMILLS,2020,GENERALMILLS_2020_10K,10,3,17.5,0.68,"INSUFFICIENT EVIDENCE to calculate the working capital ratio for General Mills's FY2020, as the total current assets and total current liabilities for FY2020 are not provided. [F41944] and [F41964] provide the figures for FY2020, but they are for a specific date within the fiscal year and not the fi",
financebench_id_04854,computed,wrong,"expected [3215.0], said [37.0, 2020.0, 3215.4]",General Mills,GENERALMILLS,2020,GENERALMILLS_2020_10K,10,3,11.2,$3215.00,"General Mills's FY2020 free cash flow was $3,215.4 millions [F41859], page 37.",
financebench_id_10136,computed,refused,,General Mills,GENERALMILLS,2022,GENERALMILLS_2022_10K,10,3,15.0,0.54,"INSUFFICIENT EVIDENCE to calculate the retention ratio as the cash flow statement is not provided, and there is no direct figure for total cash dividends paid. [F85590] mentions cash dividends declared per share but not the total amount paid.",
financebench_id_00956,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2022,JOHNSON_JOHNSON_2022_10K,4,10,18.1,"No, JnJ's FY2022 financials are not of a high growth company as sales grew by 1.3% in FY2022.","INSUFFICIENT EVIDENCE to determine if JnJ's FY2022 financials indicate a high growth company, as there are no specific growth metrics provided in the context.",
financebench_id_00669,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2022,JOHNSON_JOHNSON_2022_10K,10,3,17.9,"For FY22, JnJ had changes in gross margin due to: One-time COVID-19 vaccine manufacturing exit related costs, Currency i",INSUFFICIENT EVIDENCE to determine what drove gross margin change as of FY2022 for JnJ or to conclude if gross margin is not a useful metric for the company. The provided context does not contain specific information about gross margin changes or a discussion on the usefulness of the gross margin me,
financebench_id_00711,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2022,JOHNSON_JOHNSON_2022_10K,10,3,13.4,JnJ sold its inventory 2.7 times in FY2022.,INSUFFICIENT EVIDENCE to calculate the inventory turnover ratio for FY2022 as the cost of goods sold or revenue for FY2022 is not provided. [F27410] [F27259],
financebench_id_00651,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2023,JOHNSON_JOHNSON_2022Q4_EARNINGS,10,3,14.9,"No, rate of growth in adjusted EPS is expected to decelerate slightly from 3.6% in FY2022 to 3.5% in FY2023.",INSUFFICIENT EVIDENCE to determine if growth in JnJ's adjusted EPS is expected to accelerate in FY2023. The context does not provide specific growth rate expectations for FY2023. [C5910] [C20501],
