id,group,outcome,note,company,routed_company,routed_fy,oracle_doc,n_facts,n_chunks,seconds,expected,answer,problems
financebench_id_08286,direct,wrong,"expected [11588.0], said [3.0, 38.0, 2019.0]",Amazon,AMAZON,2019,AMAZON_2019_10K,10,3,12.8,$11588.00,"3M's FY2019 net income was $3,033 million [F137784], page 38.",
financebench_id_01935,direct,refused,,Amcor,AMCOR,2022,AMCOR_2022_8K_dated-2022-07-01,10,3,17.3,"Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guar","INSUFFICIENT EVIDENCE The context does not provide information about the key agenda of AMCOR's 8k filing dated 1st July 2022. [C40180] mentions a certification related to the 10-K filing for the year ended June 30, 2022, but does not reference an 8k filing.",
financebench_id_00799,direct,refused,,Amcor,AMCOR,2023,AMCOR_2023_10K,10,3,20.6,The quick ratio has slightly improved from 0.67 times to 0.69 times between FY 2023 and FY 2022.(3.4% jump),INSUFFICIENT EVIDENCE to determine if AMCOR's quick ratio improved or declined between FY2023 and FY2022. The context provides quick ratio calculations for a specific period but does not offer figures for both FY2023 and FY2022. [F21735] [F21737] [F21767],
financebench_id_01079,direct,refused,,Amcor,AMCOR,2023,AMCOR_2023_10K,4,10,21.3,"Amcor completed these acquisitions during FY2023:
-100% equity interest of a flexibles manufacturing company in the Czec","INSUFFICIENT EVIDENCE to determine major acquisitions for FY2023, FY2022, and FY2021. The context provides information only for FY2023 and FY2022.",
financebench_id_01928,direct,correct,,Amcor,AMCOR,2023,AMCOR_2023Q4_EARNINGS,10,3,5.9,"AMCOR's Adj. EBITDA was $2,018mn in FY 2023","AMCOR's FY2023 adjusted non GAAP EBITDA was $2,018 million [F44900], page 12.",
financebench_id_01930,direct,refused,,Amcor,AMCOR,2023,AMCOR_2023Q4_EARNINGS,10,3,16.5,The Real Growth was flat in FY 2023 vs FY 2022.,"INSUFFICIENT EVIDENCE to calculate the exact real change in Sales for AMCOR in FY 2023 vs FY 2022, as the specific figures for FY 2022 and FY 2023 net sales excluding FX movement, passthrough costs, and one-off items are not provided.",
financebench_id_01198,direct,refused,,AMD,AMD,,AMD_2022_10K,10,3,16.4,"In 2022, AMD reported Higher sales of their EPYC server processors, higher semi-custom product sales, and the inclusion ","INSUFFICIENT EVIDENCE to determine the exact factor driving revenue change as of FY22 for AMD, as the relevant financial period is not covered in the provided context. [C3460] discusses the acquisition of Xilinx in FY22 but does not provide specific revenue figures or changes for that period.",
financebench_id_01279,direct,correct,,AMD,AMD,,AMD_2022_10K,10,3,13.0,"In 2022, AMD brought in the most cashflow from Operations","AMD's FY2022 operating activities brought in the most cash flow of $3,565 million [F17916], page 51.",
financebench_id_00757,direct,refused,,AMD,AMD,,AMD_2022_10K,4,10,14.3,"Yes, one customer accounted for 16% of consolidated net revenue",INSUFFICIENT EVIDENCE The context does not contain information about customer concentration for FY22.,
financebench_id_01351,direct,ungrounded,figure -3.0 is in no supplied fact — the model computed or recalled it,American Express,AMERICANEXPRESS,2021,AMERICANEXPRESS_2022_10K,10,3,12.7,The effective tax rate for American Express has changed/dropped from 24.6% in FY 2021 to 21.6% in FY 2022.,The effective tax rate of American Express changed by -3.0 percentage points between FY2021 and FY2022 [C2948].,figure -3.0 is in no supplied fact — the model computed or recalled it
financebench_id_00070,direct,refused,,American Water Works,AMERICANWATERWORKS,2022,AMERICANWATERWORKS_2022_10K,4,10,26.9,"No, American Water Works had negative working capital of -$1561M in FY 2022.","INSUFFICIENT EVIDENCE to determine if American Water Works has positive working capital based on FY2022 data. The context provides total current assets but not current liabilities, which are necessary to calculate working capital. [F167978] AMERICANWATERWORKS_2022_10K p81 | AMERICANWATERWORKS · Cons",
financebench_id_04417,direct,ungrounded,no citations: every figure and claim must cite an id,Best Buy,BESTBUY,2019,BESTBUY_2019_10K,10,3,11.1,$5409.00,Insufficient evidence. The context does not provide a direct figure for FY2019 inventories in the balance sheet.,no citations: every figure and claim must cite an id
financebench_id_00685,direct,refused,,Best Buy,BESTBUY,,BESTBUY_2023_10K,4,10,24.1,"Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023",INSUFFICIENT EVIDENCE to determine if Best Buy's gross margins are historically consistent or fluctuate by more than roughly 2% each year. The provided context does not contain specific gross margin figures or trends over multiple years.,
financebench_id_01077,direct,refused,,Best Buy,BESTBUY,2023,BESTBUY_2023_10K,4,10,25.9,"Best Buy closed two acquisitions, both these companies were already partially owned by Best Buy, but Best Buy acquired a","INSUFFICIENT EVIDENCE to determine major acquisitions for FY2023, FY2022, and FY2021. The context only provides information about net cash acquired in FY2022. [F31243]",
financebench_id_01275,direct,correct,,Best Buy,BESTBUY,2023,BESTBUY_2023_10K,10,3,15.5,Best Buy generated the most cash flow from operating activities in FY 2023 ($1.8 bn),"Best Buy's FY2023 operating activities brought in the most cash flow of $1,824 million [F31027], page 29.",
financebench_id_00288,direct,refused,,Best Buy,,2023,BESTBUY_2024Q2_10Q,4,10,29.5,"Yes, there was a decline of ~42% between FY2023 and Q2 of FY 2024.","INSUFFICIENT EVIDENCE to determine a drop in Cash & Cash equivalents between FY 2023 and Q2 of FY 2024, as the required figures are not provided in the context.",
financebench_id_00460,direct,refused,,Best Buy,BESTBUY,2024,BESTBUY_2024Q2_10Q,4,10,28.8,"Yes, there is decline in number stores by 1.32% from 982 stores in Q2 FY 2023 to 969 by the end of Q2 FY2024.","INSUFFICIENT EVIDENCE to determine the change in the number of Best Buy stores between Q2 of FY2024 and FY2023, as the specific store numbers for Q2 FY2024 are not provided in the context. [C6891] [C6894]",
financebench_id_01902,direct,ungrounded,figure 30 is in no supplied fact — the model computed or recalled it,Best Buy,BESTBUY,2024,BESTBUY_2024Q2_10Q,4,10,24.2,"The entertainment segment experienced the highest growth of 9% during Q2 FY2024, primarily from gaming division.","The Consumer Electronics category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024, comprising 30% of the Domestic segment revenue [F187920], page 126.",figure 30 is in no supplied fact — the model computed or recalled it; figure 126 is in no supplied fact — the model computed or recalled it
financebench_id_10285,direct,correct,,Boeing,BOEING,2018,BOEING_2018_10K,10,3,16.6,$12645.00,"Boeing's FY2018 net property, plant, and equipment was $12,645 millions [F201972], page 85.",
financebench_id_00517,direct,ungrounded,figure 26.11 is in no supplied fact — the model computed or recalled it,Boeing,BOEING,2022,BOEING_2022_10K,10,3,17.0,Yes. Boeing has product and service categories that represent more than 20% of Boeing's revenue for FY2022. These catego,"Boeing's FY2022 revenue from Global Services represented 26.11% [F14912], page 24.",figure 26.11 is in no supplied fact — the model computed or recalled it
financebench_id_01091,direct,wrong,"expected [2018.0, 2019.0], said [2022.0]",Boeing,BOEING,2022,BOEING_2022_10K,4,10,21.7,Yes. Multiple lawsuits have been filed against Boeing resulting from a 2018 Lion Air crash and a 2019 Ethiopian Airlines,"Boeing's FY2022 had various legal proceedings, claims, and investigations related to products, contracts, employment, and other matters [C2533].",
financebench_id_00678,direct,refused,,Boeing,BOEING,2022,BOEING_2022_10K,10,3,18.4,"Yes. Boeing has an improving gross margin profile as of FY2022. Gross profit improved from $3,017 million in FY2021 to $","INSUFFICIENT EVIDENCE to determine if Boeing has an improving gross margin profile as of FY2022, since the provided context does not contain gross margin figures. [C2720] [C2407] [C2543]",
financebench_id_01290,direct,refused,,Boeing,BOEING,2022,BOEING_2022_10K,4,10,22.1,Boeing's primary customers as of FY2022 are a limited number of commercial airlines and the US government. The US govern,INSUFFICIENT EVIDENCE to determine the primary customers of Boeing as of FY2022. The context does not provide specific details about primary customers.,
financebench_id_00494,direct,refused,,Boeing,BOEING,2023,BOEING_2022_10K,4,10,29.2,"Boeing forecasts an increase in the production rates for the 737, 777X and 787 aircrafts in 2023.",INSUFFICIENT EVIDENCE to determine production rate changes for FY2023. The context does not provide information about FY2023 production rates.,
financebench_id_00585,direct,ungrounded,figure 0.6 is in no supplied fact — the model computed or recalled it,Boeing,BOEING,2022,BOEING_2022_10K,4,10,29.2,"Effective tax rate in FY2022 was 0.62%, compared to  -14.76% in FY2021.","Boeing's effective tax rate in FY2022 was (0.6) %, compared to 14.8 % in FY2021 [F13155], page 24.",figure 0.6 is in no supplied fact — the model computed or recalled it
financebench_id_01346,direct,refused,,Corning,CORNING,2021,CORNING_2022_10K,10,3,13.8,The effective tax rate of Corning has changed from 20% in FY2021 to 23% in FY 2022.,"INSUFFICIENT EVIDENCE to determine the change in effective tax rate between FY2021 and FY2022, as only the FY2021 rate is provided in the context. [C65557]",
financebench_id_00005,direct,refused,,Corning,CORNING,2022,CORNING_2022_10K,4,10,24.4,Yes. Corning had a positive working capital amount of $831 million by FY 2022 close. This answer considers only operatin,"INSUFFICIENT EVIDENCE to determine if working capital is a useful or relevant metric for Corning; the context does not provide information on the definition or applicability of working capital for this company, only the value [F42937] CORNING_2022_10K p34 | CORNING · Working capital · December 31, ·",
financebench_id_04209,direct,correct,,Costco,COSTCO,2021,COSTCO_2021_10K,10,3,12.5,$59268.00,"3M's FY2021 total assets were $59,268 millions [F90751], page 38.",
financebench_id_00790,direct,refused,,CVS Health,CVSHEALTH,2022,CVSHEALTH_2022_10K,4,10,23.3,"Yes, CVS Health requires an extensive asset base to operate, which is evident from its ROA of only 1.82% in 2022 and 3.3","INSUFFICIENT EVIDENCE to determine if CVS Health is a capital-intensive business based on FY2022 data, as there is no information on capital expenditures or the ratio of capital expenditures to revenue.",
financebench_id_01107,direct,refused,,CVS Health,CVSHEALTH,2022,CVSHEALTH_2022_10K,4,10,32.2,"Yes, CVS Health has been involved in multiple ongoing legal battles. Some notable legal dispute areas for CVS are: (1) u","INSUFFICIENT EVIDENCE to determine if CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020, as the provided context does not contain specific information about legal battles for those years. [C6648] CVSHEALTH_2022_10K p182 mentions ongoing litigation but does n",
financebench_id_01244,direct,refused,,CVS Health,CVSHEALTH,2022,CVSHEALTH_2022_10K,4,10,32.9,"Yes, CVS paid a $ 0.55 dividend per share every quarter in FY2022",INSUFFICIENT EVIDENCE to determine if CVS Health paid dividends to common shareholders in Q2 of FY2022. The context provides information about past dividends but not specific to Q2 of FY2022. [C6465] [C6402] [C6622],
financebench_id_00956,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2022,JOHNSON_JOHNSON_2022_10K,4,10,30.5,"No, JnJ's FY2022 financials are not of a high growth company as sales grew by 1.3% in FY2022.","INSUFFICIENT EVIDENCE to determine if JnJ's FY2022 financials indicate a high growth company, as there are no specific growth metrics provided in the context.",
financebench_id_00669,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2022,JOHNSON_JOHNSON_2022_10K,10,3,28.2,"For FY22, JnJ had changes in gross margin due to: One-time COVID-19 vaccine manufacturing exit related costs, Currency i",INSUFFICIENT EVIDENCE to determine what drove gross margin change as of FY2022 for JnJ or to conclude if gross margin is not a useful metric for the company. The provided context does not contain specific information about gross margin changes or a discussion on the usefulness of the gross margin me,
financebench_id_00711,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2022,JOHNSON_JOHNSON_2022_10K,10,3,17.5,JnJ sold its inventory 2.7 times in FY2022.,INSUFFICIENT EVIDENCE to calculate the inventory turnover ratio for FY2022 as the cost of goods sold or revenue for FY2022 is not provided. [F27410] [F27259],
financebench_id_00651,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2023,JOHNSON_JOHNSON_2022Q4_EARNINGS,10,3,18.5,"No, rate of growth in adjusted EPS is expected to decelerate slightly from 3.6% in FY2022 to 3.5% in FY2023.",INSUFFICIENT EVIDENCE to determine if growth in JnJ's adjusted EPS is expected to accelerate in FY2023. The context does not provide specific growth rate expectations for FY2023. [C5910] [C20501],
financebench_id_01484,direct,ungrounded,figure 2.3 is in no supplied fact — the model computed or recalled it,Johnson & Johnson,JOHNSON JOHNSON,2022,JOHNSON_JOHNSON_2022Q4_EARNINGS,4,10,22.7,US sales increased 3.0% vs international sales decline of 0.6%.,"Johnson & Johnson's US sales growth of 2.3% in FY2022 [F40970] was higher than the international sales growth of 1.0% [F41038], page 113.",figure 2.3 is in no supplied fact — the model computed or recalled it
financebench_id_01488,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2023,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,4,10,39.6,"The Consumer Health business segment will be treated as a discontinued operation from August 30, 2023 onward.","INSUFFICIENT EVIDENCE to determine which business segment will be treated as a discontinued operation from August 30, 2023 onward. The context does not provide specific information about which segment is being treated as a discontinued operation. [C5906] [C5911] [C5910] [C83654] [C5933] [C20501] [C2",
financebench_id_01490,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2023,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,10,3,21.0,JnJ will make a gain of approximately $20 billion from the separation of its Consumer Health business segment.,"INSUFFICIENT EVIDENCE to determine the gain amount from the separation of the Consumer Health business segment as of August 30, 2023. The context does not provide specific figures for the gain related to this separation. [C5910] [C83654] [C20501]",
financebench_id_01491,direct,refused,,Johnson & Johnson,JOHNSON JOHNSON,2023,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,10,3,14.3,JnJ realised $13.2 billion in cash proceeds from the separation of Kenvue.,"INSUFFICIENT EVIDENCE The context does not provide the specific amount of cash proceeds from the separation of Kenvue as of August 30, 2023.",
financebench_id_01487,direct,ungrounded,figure 6.9 is in no supplied fact — the model computed or recalled it,Johnson & Johnson,JOHNSON JOHNSON,2023,JOHNSON_JOHNSON_2023Q2_EARNINGS,4,10,22.8,"Yes, net earnings as a percent of sales increased from 20% in Q2 of FY2022 to 20.1% in Q2 of FY2023.","Johnson & Johnson's net earnings as a percent of sales increased in Q2 of FY2023 compared to Q2 of FY2022 by 6.9% [F25649], page 18.",figure 6.9 is in no supplied fact — the model computed or recalled it
financebench_id_00299,direct,refused,,JPMorgan,JPMORGAN,2021,JPMORGAN_2021Q1_10Q,10,3,18.6,Corporate. Its net revenue was -$473 million.,"INSUFFICIENT EVIDENCE to determine which business segment had the lowest net revenue in 2021 Q1, as the context does not provide specific net revenue figures for each segment. [C9158] [C85030] [C85863] only describe the business segments but do not give their respective net revenues.",
financebench_id_02119,direct,refused,,JPMorgan,JPMORGAN,2021,JPMORGAN_2021Q1_10Q,10,3,19.0,They could receive $66.56 per share.,"INSUFFICIENT EVIDENCE to determine how much each shareholder would get if JPM went bankrupt by the end of 2021 Q1, as the context does not provide the number of shareholders or the specific amount each would receive. [C8857] [C84394] [C86232]",
financebench_id_00394,direct,refused,,JPMorgan,JPMORGAN,2022,JPMORGAN_2022Q2_10Q,10,3,16.7,Corporate & Investment Bank. Its net income was $3725 million.,"INSUFFICIENT EVIDENCE to determine which business segment had the highest net income in 2022 Q2, as the specific segment details are not provided in the context. [C21941] only mentions total net revenue and overall financial metrics but does not break down net income by segment.",
financebench_id_01254,direct,correct,,MGM Resorts,MGMRESORTS,2022,MGMRESORTS_2022_10K,4,10,22.5,Yes. MGM maintained 0.01$ per share annual dividend through out FY 2022.,"MGM Resorts paid dividends to common shareholders totaling $(77,606) thousands [F63448], page 64 for FY2022.",
financebench_id_00382,direct,ungrounded,"figure $3,142,308 is in no supplied fact — the model computed or recalled it",MGM Resorts,MGMRESORTS,2022,MGMRESORTS_2022Q4_EARNINGS,4,10,20.6,Las Vegas resorts contributed ~90% of company level EBITDAR during FY2022.,"MGM's Las Vegas Strip Resorts had the highest EBITDAR contribution of $3,142,308 thousand in FY2022 [F25237], page 13.","figure $3,142,308 is in no supplied fact — the model computed or recalled it"
financebench_id_01912,direct,ungrounded,"figure $673,593,000 is in no supplied fact — the model computed or recalled it",MGM Resorts,MGMRESORTS,2022,MGMRESORTS_2022Q4_EARNINGS,4,10,25.9,MGM China experienced the worst topline performance amongst the other regions presented. Its revenue declined 44% in FY2,"MGM's MGM China segment had the worst topline performance for FY2022, with net revenues of $673,593,000 [F63153], page 37.","figure $673,593,000 is in no supplied fact — the model computed or recalled it"
financebench_id_04700,direct,refused,,Microsoft,MICROSOFT,2016,MICROSOFT_2016_10K,10,3,14.1,$32780.00,"INSUFFICIENT EVIDENCE to determine the FY2016 COGS for Microsoft, as the context does not provide a figure for cost of goods sold.",
financebench_id_00552,direct,correct,,Microsoft,MICROSOFT,2023,MICROSOFT_2023_10K,4,10,23.0,No. Microsoft decreased its debt by $2.5bn in FY 2023 vs FY 2022.,"Microsoft's debt on the balance sheet increased from $8,945 millions [F60345] in FY2022 to $10,000 millions [F60346] in FY2023.",
financebench_id_03531,direct,correct,,Nike,NIKE,2019,NIKE_2019_10K,10,3,6.2,$16525.00,"NIKE's total current assets at the end of FY2019 were $16,525 [F56731], page 54.",
financebench_id_01163,direct,correct,,Nike,NIKE,2023,NIKE_2023_10K,10,3,12.2,"Among the three, cash flow from operations was the highest for Nike in FY2023.","Nike's FY2023 cash flow from investing activities brought in the most cash flow, with $564 million [F54355], page 62.",
financebench_id_00080,direct,refused,,Paypal,PAYPAL,2022,PAYPAL_2022_10K,4,10,17.5,Yes. Paypal has a positive working capital of $ 1.6Bn as of FY2022 end.,"INSUFFICIENT EVIDENCE to determine PayPal's working capital, as the context does not provide current asset and current liability figures for FY2022.",
financebench_id_01328,direct,correct,,PepsiCo,PEPSICO,2022,PEPSICO_2022_10K,10,3,6.5,Pepsico's restructuring costs in FY2022 amounted to $411 million .,"PepsiCo's FY2022 restructuring costs directly outlined in the income statements were $411 million [F19232], page 79.",
financebench_id_01474,direct,refused,,PepsiCo,PEPSICO,2023,PEPSICO_2023Q1_EARNINGS,4,10,26.3,Pepsico experienced a strong start to FY2023.,INSUFFICIENT EVIDENCE to determine the exact reason for Pepsico raising full year guidance for FY2023. The context provides information about Pepsico's performance but does not specify the reasons for changing guidance. [C8799] [C108742],
financebench_id_00521,direct,refused,,Ulta Beauty,ULTABEAUTY,2023,ULTABEAUTY_2023_10K,4,10,33.2,Ulta Beauty did not make any acquisitions in FY2023 and FY2022.,INSUFFICIENT EVIDENCE to determine major acquisitions that Ulta Beauty has done in FY2023 and FY2022. The provided context does not contain information about specific acquisitions. [C4324] [C120636] [C120615] [C120714] [C8336] [C120644] [C120622] [C8410] [C4332] [C8345],
financebench_id_00601,direct,refused,,Ulta Beauty,,2023,ULTABEAUTY_2023Q4_EARNINGS,10,3,17.2,Lower marketing expenses and leverage of incentive compensation due to higher sales. The answer here assumes FY2023 refe,"INSUFFICIENT EVIDENCE to determine what drove the reduction in SG&A expense as a percent of net sales in FY2023. The context only provides information for FOOTLOCKER and ULTABEAUTY, not AMCOR. [C4436]",
financebench_id_00603,direct,refused,,Ulta Beauty,ULTABEAUTY,2023,ULTABEAUTY_2023Q4_EARNINGS,4,10,34.1,Increase in Merchandise inventories balance was driven by the opening of 47 new stores. The answer here assumes FY2023 r,"INSUFFICIENT EVIDENCE to determine what drove the increase in Ulta Beauty's merchandise inventories balance at the end of FY2023, as the necessary details are not provided in the context. [C8410] [C120615] [C4324] [C120636] [C8345] [C8460] [C8343] [C120714] [C4332] [C120622]",
